property_id,property_type_raw,location,details,property_name,bhk_raw,bhk,size_raw,size_sqft,price_raw,price_per_sqft_inr,price_total_inr,price_total_source,currency,furnishing_raw,furnishing,miscellaneous_details,on_website,search_text
HL-001,Plot,Ginni vihar,3 plot for sale in Ginni Vihar,Maa ginni vihar,,,1000 sqft,1000,,,,,INR,plot,,3 plot for sale,,Plot | Ginni vihar | 3 plot for sale in Ginni Vihar | Maa ginni vihar | 3 plot for sale | 1000 sqft
HL-002,3bhk flat,South tukoganj,3bhk Flat on sale south tukoganj,Sanand Apartment,3bhk,3,1500 sqft,1500,80 lakh,,8000000,provided,INR,Furnished,furnished,"1500/- maintenance, lift , parking, front facing",True,"3bhk flat | South tukoganj | 3bhk Flat on sale south tukoganj | Sanand Apartment | furnished | 1500/- maintenance, lift , parking, front facing | 3 BHK | 1500 sqft | total price ₹80 lakh"
HL-003,48 rooms hostel (commercial),Manoramaganj,Hostel Manoramaganj,tanu shree girls hostel,48 rooms,,6000 sqft,6000,6.5 Cr,,65000000,provided,INR,Furnished,furnished,"100 bed, 6.5 lakh rent",True,"48 rooms hostel (commercial) | Manoramaganj | Hostel Manoramaganj | tanu shree girls hostel | furnished | 100 bed, 6.5 lakh rent | 6000 sqft | total price ₹6.5 crore"
HL-004,house,"Sai paradise, Bijalpur",Sai paradise makaan 550 sqft,Sai paradise,3bhk,3,550 sqft,550,56 lakh,,5600000,provided,INR,Semi-furnished,semi_furnished,Plot no 534 550 sqft house,,"house | Sai paradise, Bijalpur | Sai paradise makaan 550 sqft | Sai paradise | semi_furnished | Plot no 534 550 sqft house | 3 BHK | 550 sqft | total price ₹56 lakh"
HL-005,22 rooms hotel,MR 10,"Hotel owner, MR 10 sq*",MR 10,22 rooms,,1200 sqft,1200,3.25 Cr,,32500000,provided,INR,Furnished,furnished,"jai malhar parisar. veena nagar, beside madhur inn | 2 lakh rent",,"22 rooms hotel | MR 10 | Hotel owner, MR 10 sq* | furnished | jai malhar parisar. veena nagar, beside madhur inn | 2 lakh rent | 1200 sqft | total price ₹3.25 crore"
HL-006,4bhk villa,Scheme 140,"4BHK villa scheme 140, 4.10 cr price, 1500 sqft plot, G+1",Scheme 140,4bhk,4,1500 sqft,1500,4.10 Cr,,41000000,provided,INR,Funrished,furnished,Shalimar Palm,True,"4bhk villa | Scheme 140 | 4BHK villa scheme 140, 4.10 cr price, 1500 sqft plot, G+1 | furnished | Shalimar Palm | 4 BHK | 1500 sqft | total price ₹4.1 crore"
HL-007,1800 plot (jodi) (2 adjacent plots),Manglia,"1800 sqft jodi E66/67, phase 1 DLF Gardencity",Manglia Bypass,,,1800 sqft,1800,8000/- per sqft,8000,14400000,calculated_from_rate_x_size,INR,Plot,,DLF Gardencity phase 1,True,"1800 plot (jodi) (2 adjacent plots) | Manglia | 1800 sqft jodi E66/67, phase 1 DLF Gardencity | Manglia Bypass | DLF Gardencity phase 1 | 1800 sqft | ₹8,000 per sqft | total price ₹1.44 crore"
HL-008,2100 sqft plot,Manglia,DLF Garden city 2A,Manglia Bypass,,,2100 sqft,2100,5500/- per sqft,5500,11550000,calculated_from_rate_x_size,INR,Plot,,DLF Gardencity phase 2,True,"2100 sqft plot | Manglia | DLF Garden city 2A | Manglia Bypass | DLF Gardencity phase 2 | 2100 sqft | ₹5,500 per sqft | total price ₹1.155 crore"
HL-009,2106 sqft plot,Manglia,DLF Garden city phase 1,Manglia Bypass,,,2106 sqft,2106,6000/- per sqft,6000,12636000,calculated_from_rate_x_size,INR,Plot,,DLF Gardencity phase 1,True,"2106 sqft plot | Manglia | DLF Garden city phase 1 | Manglia Bypass | DLF Gardencity phase 1 | 2106 sqft | ₹6,000 per sqft | total price ₹1.2636 crore"
HL-010,1100 sqft house,Mahalaxmi nagar,4BHK villa RR Avanue,"RR Avenue, Mahalaxmi",4bhk,4,1100 sqft,1100,2.15 Cr,,21500000,provided,INR,Villa,villa,RR AVenue | 2400 sqft construction,,"1100 sqft house | Mahalaxmi nagar | 4BHK villa RR Avanue | RR Avenue, Mahalaxmi | villa | RR AVenue | 2400 sqft construction | 4 BHK | 1100 sqft | total price ₹2.15 crore"
HL-011,4800 sqft villa,CAT Road,"Treasure Fantasy 4800 sqft Villa, 4BHK, jacuzzi, home theatre., North east corner",CAT Road,4bhk,4,4800 sqft,4800,7 Cr,,70000000,provided,INR,Semi furnished,semi_furnished,Garden and corner. New construction,,"4800 sqft villa | CAT Road | Treasure Fantasy 4800 sqft Villa, 4BHK, jacuzzi, home theatre., North east corner | semi_furnished | Garden and corner. New construction | 4 BHK | 4800 sqft | total price ₹7 crore"
HL-012,5400 sqft villa,MR 11,Goyal Green Bungalow,"Goyal Greens, MR 11",6bhk,6,5400 sqft,5400,10 Cr,,100000000,provided,INR,Unfurnished,unfurnished,"Under cons, west corner | Via newspaper DB",,"5400 sqft villa | MR 11 | Goyal Green Bungalow | Goyal Greens, MR 11 | unfurnished | Under cons, west corner | Via newspaper DB | 6 BHK | 5400 sqft | total price ₹10 crore"
HL-013,900 sqft house,"Rau, Silicon city",4bhk house silicon city,SIlicon City,4bhk,4,4500 sqft,4500,1.05 Cr,,10500000,provided,INR,Funished,furnished,,,"900 sqft house | Rau, Silicon city | 4bhk house silicon city | SIlicon City | furnished | 4 BHK | 4500 sqft | total price ₹1.05 crore"
HL-014,1558 sqft house,MR 9 sq,"4BHK House Robot sq, 1558 sqft, Kanak Villa",Robot sq,4bhk,4,1558 sqft,1558,1.50 cr,,15000000,provided,INR,Semi furnished,semi_furnished,New construction | 2100 sqft cons,,"1558 sqft house | MR 9 sq | 4BHK House Robot sq, 1558 sqft, Kanak Villa | Robot sq | semi_furnished | New construction | 2100 sqft cons | 4 BHK | 1558 sqft | total price ₹1.5 crore"
